title_xpa,extenses_xpa,meaning_xpa
 ～あとで(ato de)【JLPT N5 Grammar】,カメラは、ったしないように、よくえてからいましょう,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,をた、のタイトルのがわかりました,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,にした、そのデータがっていたとりました,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,このソフトをえば、をとった、できますよ,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,バスがした、うバスにったことにがつきました,after / 之后
 あまり〜ない【JLPT N5 Grammar】,、パンをべます,not very; not much
 あまり〜ない【JLPT N5 Grammar】,ごはべ,not very; not much
 あまり〜ない【JLPT N5 Grammar】,は、しません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,だちとびます,not very; not much
 あまり〜ない【JLPT N5 Grammar】,このが、かりません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,えてください,not very; not much
 あまり〜ない【JLPT N5 Grammar】,テレビはませんが、きらいじゃありません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,、とっていませんが、いたいです,not very; not much
 あまり〜ない【JLPT N5 Grammar】,たいみがきじゃありません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,ホラーはません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,SFをよくます,not very; not much
 あまり〜ない【JLPT N5 Grammar】,このペンはよくありません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,しいペンがほしいです,not very; not much
 あまり〜ない【JLPT N5 Grammar】,のみには、がませんでした,not very; not much
 あまり〜ない【JLPT N5 Grammar】,このべは、おいしくありませんでした,not very; not much
 あまり〜ない【JLPT N5 Grammar】,Twitterをしませんが、Facebookはよくみます,not very; not much
 あまり〜ない【JLPT N5 Grammar】,はしいですから、だちとんでいません,not very; not much
 あまり〜ない【JLPT N5 Grammar】,おがきじゃありませんから、おがみたいです,not very; not much
 意志形Volitional form【JLPT N5 Grammar】,は、って,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,は、を,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,は、だちとびに,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,おをもらったから、はい,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,をとした、がってきた,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,あののことをとしてもれられません,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,ごをとした、をれれたことをにづいた,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,としたときに、があったのをいした,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,しいをとしても、すぐれてしまいます,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,だち「ちょっとまない,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「いいねぇ、,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「ご、べた？まだなら、にべようよ,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「いいね、べにか,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「なんかがりそうだね、,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「うん,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「、にない？にをよ,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」だち「うん、いいね、！」「ちょっといね、をよ,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「うん、いいよ,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「なんかくない？をね,「はーい。」
 意志形Volitional form【JLPT N5 Grammar】,」「はーい,「はーい。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にいに,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,は6に,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,は、で,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にはしく,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,は、を,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,カギをれたので、に,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,あのは、もうが、はってきようとっています,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にったらアイスを、にべられてしまった,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,JLPTのために、をもっと,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にたのに、が、やってなかった,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,だ,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にCDをけど、やっぱりやめた,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,のパーティーではを,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,にら、をってくるのれてた,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,トレけど、なかなかできないんだよね,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,までに、のを,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,はに,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,、に,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,からのでのを,だち「
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,くけど、られなかった,は、ビジネスを
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,「みはをするんですか？」友だち「は、アメリカにんです,よ。」
 意志形＋とおもう(to omou) Volitional form【JLPT N4 Grammar】,」 「、どんなをしたい？」だち「は、ビジネスをよ,だち「
 いちばん(ichi ban)【JLPT N5 Grammar】,は、クラスのでがいです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,はので、がきです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,このゲームは、おもしろいといます,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,にっているのがさんです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,くビンゴした人には、がありますよ,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,おがないので、いラーメンをべました,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,おいしいものをべて、るときがせです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,いまきたいは、です,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,れているときは、たくさんべて、たくさんるのがです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,きうなら、やさしいがです,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,のテストではでしたが、はいちばんになれるかわかりません,the most; best; number one
 いちばん(ichi ban)【JLPT N5 Grammar】,は、こののさだったそうです,the most; best; number one
 いっしょに(issho ni)【JLPT N5 Grammar】,、だちと、にきます,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,と、ごをります,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,で、だちとします,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,と、をします,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,いつも、ねことねます,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,カラオケでいましょう,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,とは、にきました,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,テニスをするをしています,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,このとレタスをべてください,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,おいしいですよ,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,、いをしませんか？ おかしと、このおをむとおいしいですよ,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,とずっといたいです,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,あのといると、しいです,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,の、ジョギングをしませんか,with; together
 いっしょに(issho ni)【JLPT N5 Grammar】,このレストランでは、ペットとごをべることができます,with; together
 いつも【JLPT N5 Grammar】,はにきています,always; usually; habitually
 いつも【JLPT N5 Grammar】,は、とをべています,always; usually; habitually
 いつも【JLPT N5 Grammar】,クラスでは、でしています,always; usually; habitually
 いつも【JLPT N5 Grammar】,いをするときは、カードでいます,always; usually; habitually
 いつも【JLPT N5 Grammar】,ジョギングしたは、シャワーをびます,always; usually; habitually
 いつも【JLPT N5 Grammar】,あのは、クラスにします,always; usually; habitually
 いつも【JLPT N5 Grammar】,はでにますが、はバスでました,always; usually; habitually
 いつも【JLPT N5 Grammar】,にるときは、ポケットにをれています,always; usually; habitually
 いつも【JLPT N5 Grammar】,テストでは、をえます,always; usually; habitually
 いつも【JLPT N5 Grammar】,の、とアイスクリームをべます,always; usually; habitually
 いつも【JLPT N5 Grammar】,はとごをべますが、はでべました,always; usually; habitually
 いつも【JLPT N5 Grammar】,クラスのに、トイレにきます,always; usually; habitually
 いつも【JLPT N5 Grammar】,は、Youtubeをみて、シャワーをびて、ます,always; usually; habitually
 受身形（passive form）【JLPT N4 Grammar】,にを,に
 受身形（passive form）【JLPT N4 Grammar】,に,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,にを,みたかった
 受身形（passive form）【JLPT N4 Grammar】,にきなを,は
 受身形（passive form）【JLPT N4 Grammar】,、でパーティーが,かに
 受身形（passive form）【JLPT N4 Grammar】,のに、しいスーパーが,いた。
 受身形（passive form）【JLPT N4 Grammar】,はかにパソコンを,に
 受身形（passive form）【JLPT N4 Grammar】,に,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,のをに,みたかった
 受身形（passive form）【JLPT N4 Grammar】,このはピカソによって,は
 受身形（passive form）【JLPT N4 Grammar】,「」とうは、によって,かに
 受身形（passive form）【JLPT N4 Grammar】,はに、おにべるつもりだったパンを,いた。
 受身形（passive form）【JLPT N4 Grammar】,はにを,に
 受身形（passive form）【JLPT N4 Grammar】,はにを,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,あのではかわいいが,みたかった
 受身形（passive form）【JLPT N4 Grammar】,iPhoneはで,は
 受身形（passive form）【JLPT N4 Grammar】,マークザッカーバーグはのに,かに
 受身形（passive form）【JLPT N4 Grammar】,にのを,いた。
 受身形（passive form）【JLPT N4 Grammar】,にを,に
 受身形（passive form）【JLPT N4 Grammar】,にを,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,にに,みたかった
 受身形（passive form）【JLPT N4 Grammar】,でに,は
 受身形（passive form）【JLPT N4 Grammar】,なおを,かに
 受身形（passive form）【JLPT N4 Grammar】,にを,いた。
 受身形（passive form）【JLPT N4 Grammar】,にで,に
 受身形（passive form）【JLPT N4 Grammar】,にを,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,を、にでられない,みたかった
 受身形（passive form）【JLPT N4 Grammar】,に、しいを,は
 受身形（passive form）【JLPT N4 Grammar】,はいに,かに
 受身形（passive form）【JLPT N4 Grammar】,になコメントを,いた。
 受身形（passive form）【JLPT N4 Grammar】,のツイートが、たくさんリツイート,に
 受身形（passive form）【JLPT N4 Grammar】,ここは、あのなにもレストランです,ったけど、
 受身形（passive form）【JLPT N4 Grammar】,でかにが、のところでつかった,みたかった
 受身形（passive form）【JLPT N4 Grammar】,にったけど、みたかったはかにいた,は
 〜おわる(owaru)【JLPT N4の文法 Grammar】,ごがべましたから、おをいます,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,飲みペットボトルは、このにれてください,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,でりた本を、今日読みました,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,のが書きので、買い物に行きます,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,りたDVDを見ので、おにしに行きます,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,JLPTのがきので、えを見てみます,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,パソコンをいら、スリープモードにしています,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,カラオケでを歌いので、となりの人にマイクをしました,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,読み本を、にあげました,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,トイレットペーパーを使い前に、買いに行きます,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,見後にしいになるをりませんか？ご飯を食べあとに、みんなでカラオケに行きました,to finish / 〜完
 〜おわる(owaru)【JLPT N4の文法 Grammar】,勉強しあとに、おにゆっくり入って、ました,to finish / 〜完
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,がるからないから、をっていったほうがいいよ,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,にきたいんですが、あるわかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,がにいるりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,のために、をべてはいけないえてください,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,にけば、あのしいゲームがえるっていますか,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,たくさんがんでるね,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,おにれるまでに、つわからないよ,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,の、ビールをんだえていません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,の、にたえていません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,、とをしたえていません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,のクラスにをっていく、りません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,レポートはけばいいえてください,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,は、キロげるわかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,テストにしました,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,にとったらいいわかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,をするまでに、でかかるかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,のをべばいいわかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,になるまだめていません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,のパーティーには、ぐらいるってますか,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,ののはっていますか,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,がんだってますか,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,のがするわかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,がわるのにかかるかりません,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,でになるからない,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,このるってますか,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,になってしまった,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,にればいいわからない,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,「ってきまーす」「くなるわからないから、コートをってきなさい,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,」だち「ねえ、しいゲームはいくらぐらいするかな,疑問詞 + V普通形 + 
 疑問詞(Question words)＋か(ka)【JLPT N4 Grammar】,」「うーん、するわからないなあ,疑問詞 + V普通形 + 
 〜かた(kata)【JLPT N5 Grammar】,こののべをえてください,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,うちのねこのりは、かわいいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,のきは、かっこいいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,あののえはとてもわかりやすいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,あののいはとてもかっこいいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,はしのいがですね,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,チケットのいがわかりません,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,あののりはかわいいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,このプロジェクターのいがわかりません,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,こののみはなんですか,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,すしのりをりたいです,the way of A; how to A
 〜かた(kata)【JLPT N5 Grammar】,こののみをえてください,the way of A; how to A
 V可能形(potential form)【JLPT N4 Grammar】,はこのがよ, 
 V可能形(potential form)【JLPT N4 Grammar】,はいおが, 
 V可能形(potential form)【JLPT N4 Grammar】,が, 
 V可能形(potential form)【JLPT N4 Grammar】,ギターが, 
 V可能形(potential form)【JLPT N4 Grammar】,あなたのアパートでは、ペットがか, 
 V可能形(potential form)【JLPT N4 Grammar】,のは、しくてあまり, 
 V可能形(potential form)【JLPT N4 Grammar】,が, 
 V可能形(potential form)【JLPT N4 Grammar】,どうしたらいいですか, 
 V可能形(potential form)【JLPT N4 Grammar】,ちょっとってください, 
 V可能形(potential form)【JLPT N4 Grammar】,もうれて, 
 V可能形(potential form)【JLPT N4 Grammar】,そのはくて, 
 V可能形(potential form)【JLPT N4 Grammar】,あののパソコンがれました、か, 
 V可能形(potential form)【JLPT N4 Grammar】,のがか, 
 V可能形(potential form)【JLPT N4 Grammar】,は、キロぐらい, 
 V可能形(potential form)【JLPT N4 Grammar】,がぐらい, 
 V可能形(potential form)【JLPT N4 Grammar】,はあまり, 
 V可能形(potential form)【JLPT N4 Grammar】,とが, 
 V可能形(potential form)【JLPT N4 Grammar】,が, 
 V可能形(potential form)【JLPT N4 Grammar】,おがありませんから、しいゲームが, 
 V可能形(potential form)【JLPT N4 Grammar】,でのがよ, 
 V可能形(potential form)【JLPT N4 Grammar】,「かスポーツがか, 
 V可能形(potential form)【JLPT N4 Grammar】,」だち「はい, 
 V可能形(potential form)【JLPT N4 Grammar】,サッカーが, 
 V可能形(potential form)【JLPT N4 Grammar】,」 「おがか, 
 V可能形(potential form)【JLPT N4 Grammar】,」だち「はい, 
 V可能形(potential form)【JLPT N4 Grammar】,おが, 
 V可能形(potential form)【JLPT N4 Grammar】,」 「あなたののがか, 
 V可能形(potential form)【JLPT N4 Grammar】,」「はい、インドのが, 
 V可能形(potential form)【JLPT N4 Grammar】,」 「はしてくださいね, 
 V可能形(potential form)【JLPT N4 Grammar】,」「すみません, 
 V可能形(potential form)【JLPT N4 Grammar】,は, 
 V可能形(potential form)【JLPT N4 Grammar】,はにから, 
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,は、からがる,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,をひくから、コートをたほうがいいよ,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,のテストはした,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,ちょっとった,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,にのってみよう,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,したごがまだない,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,もしかしたら、れられている,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,おがりなくなるから、クレジットカードをってったほうががいいよ,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,あ、だ！がおちたね,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,あ、とえて、をれちゃった,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,でも、とおいしい,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,バスがないなあ,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,にれる,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,のは、きられないから、アラームをたくさんセットしておく,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,はちょっとしいから、パーティーにはけない,may; might; perhaps / 也许; 可能
 ～かもしれない(kamo shirenai)【JLPT N4 Grammar】,「はにるの？」「は、でくなるから、にごべてね,may; might; perhaps / 也许; 可能
 ～から(kara) reason【JLPT N5 Grammar】,はがきです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,べがおいしいです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,があります、はびにいきません,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,がいです、ります,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,をれました、ちょっとりますね,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,がべられません、をべません,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,ににってください,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,はできます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,もう11ですりますね,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,いです、ります,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,テストします、ちゃんとしてくださいね,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,おがめません、みはいです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,いです、コートをます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,にります、をいます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,たくさんました、はです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,ちょっとれた、そこのスターバックスでみましょう,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,ちょっとがわらない、はるのがくなるよ,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,のパソコンはいです、しいのをいます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,をしたがきれいです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,シャワーをあびましたがいいです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,はクラスをみます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,からがます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,あのはい、このをいます,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,のはいです、きじゃありません,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,はがです、のはよくっています,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,はあのがきです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,がです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,がいです、しいです,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,おがないいません,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,いしません,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,かったしませんでした,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,おがなかった、いませんでした,because; since / 因为; 由于
 ～から(kara) reason【JLPT N5 Grammar】,しませんでした、テストのがかったです,because; since / 因为; 由于
